rank,status,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
3295,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,,0.05,1.0,1.5,"mkt_rf, smb, hml, rmw, mom",8.068333,12.20%,11.56%,13.10%,0.81,0.77,0.86,0.27,-0.32,-26.75%,53.33%,120,10,2026-06-04 20:55:38
3296,completed,2010-01-01,2025-12-31,70,0.2,0,False,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",8.0675,11.52%,11.06%,12.52%,0.81,0.78,0.88,0.15,-0.31,-25.92%,53.33%,180,15,2026-06-04 20:55:38
3297,completed,2010-01-01,2025-12-31,60,0.1,0,False,48,48,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",8.0675,11.18%,11.06%,12.52%,0.80,0.78,0.88,0.01,-0.34,-23.23%,51.11%,180,15,2026-06-04 20:55:38
3298,completed,2010-01-01,2025-12-31,60,0.2,0,False,36,36,48,36.0,0.05,1.5,1.5,"mkt_rf, smb, hml, cma",8.0675,11.52%,11.06%,12.52%,0.81,0.78,0.88,0.15,-0.31,-25.92%,53.33%,180,15,2026-06-04 20:55:38
3299,completed,2010-01-01,2025-12-31,70,0.1,0,False,48,48,48,60.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw",8.0675,11.18%,11.06%,12.52%,0.80,0.78,0.88,0.01,-0.34,-23.23%,51.11%,180,15,2026-06-04 20:55:38
3300,completed,2015-01-01,2025-12-31,80,0.3,0,True,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml, rmw, mom",8.065833,12.27%,11.58%,13.19%,0.81,0.77,0.86,0.28,-0.33,-27.21%,55.83%,120,10,2026-06-04 20:55:38
3301,completed,2015-01-01,2025-12-31,80,0.1,0,True,36,36,48,,0.05,1.5,2.0,"mkt_rf, smb, hml, cma, mom",8.065833,12.48%,11.58%,13.19%,0.81,0.77,0.86,0.29,-0.20,-28.70%,54.17%,120,10,2026-06-04 20:55:38
3302,completed,2015-01-01,2025-12-31,70,0.3,0,False,36,36,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw",8.065833,12.10%,11.56%,13.10%,0.81,0.77,0.86,0.19,-0.36,-25.90%,51.67%,120,10,2026-06-04 20:55:38
3303,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw",8.065833,12.10%,11.56%,13.10%,0.81,0.77,0.86,0.19,-0.36,-25.90%,51.67%,120,10,2026-06-04 20:55:38
3304,completed,2010-01-01,2025-12-31,70,0.3,0,True,36,36,48,60.0,0.05,1.0,1.5,"mkt_rf, smb, hml, mom",8.065,11.50%,11.06%,12.52%,0.83,0.78,0.88,0.17,-0.54,-25.89%,52.22%,180,15,2026-06-04 20:55:38
3305,completed,2010-01-01,2025-12-31,60,0.3,0,True,36,36,48,60.0,0.05,1.0,1.5,"mkt_rf, smb, hml, mom",8.065,11.50%,11.06%,12.52%,0.83,0.78,0.88,0.17,-0.54,-25.89%,52.22%,180,15,2026-06-04 20:55:38
3306,completed,2010-01-01,2025-12-31,80,0.3,0,False,48,48,48,36.0,0.05,1.5,2.0,"mkt_rf, smb, hml, mom",8.065,11.50%,11.11%,12.58%,0.84,0.78,0.88,0.09,-0.35,-25.61%,52.78%,180,15,2026-06-04 20:55:38
3307,completed,2015-01-01,2025-12-31,60,0.3,0,True,36,36,48,,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",8.063333,12.10%,11.56%,13.10%,0.81,0.77,0.86,0.22,-0.35,-25.97%,53.33%,120,10,2026-06-04 20:55:38
3308,completed,2015-01-01,2025-12-31,70,0.3,0,True,36,36,48,,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",8.063333,12.10%,11.56%,13.10%,0.81,0.77,0.86,0.22,-0.35,-25.97%,53.33%,120,10,2026-06-04 20:55:38
