signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2023-01-31,2023-01-31,2023-02-28,2023-02-28,2023-01-31,2023-02-28,-0.031653844147111185,0.02474291269927252,-0.006910931447838664,0.0,13,13,4,0.8244430940706857,1.0,-0.006910931447838664
2023-02-28,2023-02-28,2023-03-31,2023-03-31,2023-02-28,2023-03-31,0.023984146496581094,0.002882431147850215,0.02686657764443131,0.0,13,13,4,0.8465930584709509,1.0,0.02686657764443131
2023-03-31,2023-03-31,2023-04-28,2023-04-28,2023-03-31,2023-04-28,0.011202949986155284,-0.006887690270671821,0.004315259715483463,0.0,13,13,4,0.8502463273915785,1.0,0.004315259715483463
2023-04-28,2023-04-28,2023-05-31,2023-05-31,2023-04-28,2023-05-31,-0.0042123070969392155,0.01644781837855364,0.012235511281614424,0.0,13,13,4,0.8606495259225293,1.0,0.012235511281614424
2023-05-31,2023-05-31,2023-06-30,2023-06-30,2023-05-31,2023-06-30,0.05376410200709936,-0.07012985694483455,-0.01636575493773519,0.0,13,13,4,0.8465643466940033,1.0,-0.01636575493773519
2023-06-30,2023-06-30,2023-07-31,2023-07-31,2023-06-30,2023-07-31,0.031335880713230506,-0.035361839022879205,-0.004025958309648699,0.0,13,13,4,0.8431561139277782,1.0,-0.004025958309648699
2023-07-31,2023-07-31,2023-08-31,2023-08-31,2023-07-31,2023-08-31,-0.027916991877924513,0.022140798128993618,-0.005776193748930895,0.0,13,13,4,0.8382858808531357,1.0,-0.005776193748930895
2023-08-31,2023-08-31,2023-09-29,2023-09-29,2023-08-31,2023-09-29,-0.05155846306590702,0.04276798610435027,-0.00879047696155675,0.0,13,13,4,0.8309169481302979,1.0,-0.00879047696155675
2023-09-29,2023-09-29,2023-10-31,2023-10-31,2023-09-29,2023-10-31,-0.023191781145540748,0.03542656131595255,0.012234780170411803,0.0,13,13,4,0.8410830343305417,1.0,0.012234780170411803
2023-10-31,2023-10-31,2023-11-30,2023-11-30,2023-10-31,2023-11-30,0.07332122480654851,-0.0761619013823237,-0.0028406765757751917,0.0,13,13,4,0.838693789456637,1.0,-0.0028406765757751917
2023-11-30,2023-11-30,2023-12-29,2023-12-29,2023-11-30,2023-12-29,0.04797278668832244,-0.07241353694357724,-0.024440750255254808,0.0,12,12,3,0.818195484007894,1.0,-0.024440750255254808
2023-12-29,2023-12-29,2024-01-31,2024-01-31,2023-12-29,2024-01-31,-0.013703887634296651,0.014240869290630336,0.0005369816563336842,0.0,12,12,3,0.8186348399741012,1.0,0.0005369816563336842
2024-01-31,2024-01-31,2024-02-29,2024-02-29,2024-01-31,2024-02-29,0.041317607964117896,-0.036004014567479196,0.0053135933966386995,0.0,12,12,3,0.8229847326540459,1.0,0.0053135933966386995
2024-02-29,2024-02-29,2024-03-28,2024-03-28,2024-02-29,2024-03-28,0.046813629099958544,-0.03350607498439751,0.013307554115561032,0.0,12,12,3,0.8339366465201201,1.0,0.013307554115561032
2024-03-28,2024-03-28,2024-04-30,2024-04-30,2024-03-28,2024-04-30,-0.03142967515423037,0.04742305421905682,0.015993379064826452,0.0,12,12,3,0.8472741114239667,1.0,0.015993379064826452
2024-04-30,2024-04-30,2024-05-31,2024-05-31,2024-04-30,2024-05-31,0.05766427593761071,-0.03146612482715479,0.026198151110455925,0.0,12,12,3,0.869471126627029,1.0,0.026198151110455925
2024-05-31,2024-05-31,2024-06-28,2024-06-28,2024-05-31,2024-06-28,-0.014027176715086872,0.013444645897194619,-0.0005825308178922534,0.0,12,12,3,0.8689646329005012,1.0,-0.0005825308178922534
2024-06-28,2024-06-28,2024-07-31,2024-07-31,2024-06-28,2024-07-31,0.03898558559169832,-0.045804861886520463,-0.006819276294822145,0.0,12,12,3,0.863038922978324,1.0,-0.006819276294822145
2024-07-31,2024-07-31,2024-08-30,2024-08-30,2024-07-31,2024-08-30,0.025904310932145853,-0.01944463718679013,0.006459673745355724,0.0,13,13,3,0.8686138728503071,1.0,0.006459673745355724
2024-08-30,2024-08-30,2024-09-30,2024-09-30,2024-08-30,2024-09-30,0.03713928625464944,-0.009790699394466699,0.027348586860182742,0.0,13,13,3,0.8923692347999135,1.0,0.027348586860182742
2024-09-30,2024-09-30,2024-10-31,2024-10-31,2024-09-30,2024-10-31,-1.149244789883856e-05,0.025923874822251634,0.025912382374352796,0.0,13,13,3,0.9154926476311575,1.0,0.025912382374352796
2024-10-31,2024-10-31,2024-11-29,2024-11-29,2024-10-31,2024-11-29,0.08224891807700468,-0.08403022132920447,-0.0017813032521997868,0.0,12,12,3,0.913861877600567,1.0,-0.0017813032521997868
2024-11-29,2024-11-29,2024-12-31,2024-12-31,2024-11-29,2024-12-31,-0.05889503831146018,0.06364897378919795,0.004753935477737774,0.0,12,12,3,0.9182063180022444,1.0,0.004753935477737774
2024-12-31,2024-12-31,2025-01-31,2025-01-31,2024-12-31,2025-01-31,0.04131914444258681,-0.020419366703612718,0.02089977773897409,0.0,12,12,3,0.9373966259670131,1.0,0.02089977773897409
2025-01-31,2025-01-31,2025-02-28,2025-02-28,2025-01-31,2025-02-28,-0.01898896422181209,0.030708472131713793,0.011719507909901703,0.0,13,13,3,0.9483824531397487,1.0,0.011719507909901703
2025-02-28,2025-02-28,2025-03-31,2025-03-31,2025-02-28,2025-03-31,-0.04754392177222872,0.04717912666856799,-0.00036479510366073387,0.0,12,12,3,0.9480364878644455,1.0,-0.00036479510366073387
2025-03-31,2025-03-31,2025-04-30,2025-04-30,2025-03-31,2025-04-30,-0.0015538235737236885,0.01696602166055535,0.015412198086831662,0.0,12,12,3,0.9626478140089565,1.0,0.015412198086831662
2025-04-30,2025-04-30,2025-05-30,2025-05-30,2025-04-30,2025-05-30,0.051265858382214265,-0.032320444380836234,0.01894541400137803,0.0,12,12,3,0.9808855753828778,1.0,0.01894541400137803
2025-05-30,2025-05-30,2025-06-30,2025-06-30,2025-05-30,2025-06-30,0.04403425740309656,-0.01789978101447602,0.026134476388620542,0.0,12,12,3,1.0065205062926599,1.0,0.026134476388620542
2025-06-30,2025-06-30,2025-07-31,2025-07-31,2025-06-30,2025-07-31,0.023940278403376432,-0.0035597980217654496,0.020380480381610982,0.0,12,12,3,1.0270338777248467,1.0,0.020380480381610982
2025-07-31,2025-07-31,2025-08-29,2025-08-29,2025-07-31,2025-08-29,0.016000959223582138,-0.04424651965352292,-0.028245560429940784,0.0,12,12,3,0.9980247302679731,1.0,-0.028245560429940784
2025-08-29,2025-08-29,2025-09-30,2025-09-30,2025-08-29,2025-09-30,0.022255397241918287,0.013743480017739099,0.035998877259657384,0.0,12,12,3,1.0339525000349925,1.0,0.035998877259657384
2025-09-30,2025-09-30,2025-10-31,2025-10-31,2025-09-30,2025-10-31,0.009791001947620004,0.004273947111671858,0.014064949059291862,0.0,12,12,3,1.0484949892777122,1.0,0.014064949059291862
2025-10-31,2025-10-31,2025-11-28,2025-11-28,2025-10-31,2025-11-28,0.009609184326641984,-0.02344262647767049,-0.013833442151028507,0.0,12,12,3,1.0339906944978956,1.0,-0.013833442151028507
2025-11-28,2025-11-28,2025-12-31,2025-12-31,2025-11-28,2025-12-31,-0.004403610638040891,0.007078470849726713,0.0026748602116858228,0.0,11,11,3,1.0367564750658613,1.0,0.0026748602116858228
