基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
泓德汽车产业升级混合型发起式证券投资基金,泓德汽车产业升级混合发起式C,017664,混合型-偏股,2023年01月11日,2023年01月17日 / 0.101亿份,0.13亿元（截止至：2026年01月21日）,0.0033亿份（截止至：2026年01月17日）,泓德基金,邮储银行,苏昌景,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中证新能源汽车指数收益率*40%+中证智能汽车主题指数收益率*30%+中证港股通综合指数收益率*10%+中国债券综合全价指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.13,2023-01-17
鹏华新材料混合型发起式证券投资基金,鹏华新材料混合发起式A,017667,混合型-偏股,2023年03月06日,2023年03月28日 / 0.415亿份,0.21亿元（截止至：2025年12月31日）,0.178亿份（截止至：2025年12月31日）,鹏华基金,招商银行,王云鹏,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证新材料主题指数收益率*70%+恒生指数收益率*10%(经估值汇率调整)+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的,,,0.21,2023-03-28
鹏华新材料混合型发起式证券投资基金,鹏华新材料混合发起式C,017668,混合型-偏股,2023年03月06日,2023年03月28日 / 0.415亿份,0.09亿元（截止至：2025年12月31日）,0.0785亿份（截止至：2025年12月31日）,鹏华基金,招商银行,王云鹏,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证新材料主题指数收益率*70%+恒生指数收益率*10%(经估值汇率调整)+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.09,2023-03-28
大成卓远视野混合型证券投资基金,大成卓远视野混合A,017669,混合型-偏股,2024年04月30日,2024年06月12日 / 7.998亿份,6.57亿元（截止至：2025年12月31日）,5.4731亿份（截止至：2025年12月31日）,大成基金,中国银行,徐彦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*70%+恒生指数收益率(使用估值汇率调整)*10%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,,,6.57,2024-06-12
大成卓远视野混合型证券投资基金,大成卓远视野混合C,017670,混合型-偏股,2024年04月30日,2024年06月12日 / 7.998亿份,3.48亿元（截止至：2025年12月31日）,2.9262亿份（截止至：2025年12月31日）,大成基金,中国银行,徐彦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,沪深300指数收益率*70%+恒生指数收益率(使用估值汇率调整)*10%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,3.48,2024-06-12
国投瑞银精选收益灵活配置混合型证券投资基金,国投瑞银精选收益混合C,017679,混合型-灵活,2015年04月27日,2023年01月04日 / --,0.00亿元（截止至：2025年12月31日）,0.0013亿份（截止至：2025年12月31日）,国投瑞银基金,中国银行,吴默村,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,沪深300指数收益率*50%+中债综合指数收益率*50%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.0,2023-01-04
华夏新材料龙头混合型发起式证券投资基金,华夏新材料龙头混合发起式A,017697,混合型-偏股,2023年01月16日,2023年02月14日 / 0.264亿份,0.16亿元（截止至：2025年12月31日）,0.1822亿份（截止至：2025年12月31日）,华夏基金,华夏银行,彭锐哲,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证新材料主题指数收益率*65%+中证港股通综合指数(人民币)收益率*15%+中债综合(全价)指数收益率*20%,该基金无跟踪标的,,,0.16,2023-02-14
华夏新材料龙头混合型发起式证券投资基金,华夏新材料龙头混合发起式C,017698,混合型-偏股,2023年01月16日,2023年02月14日 / 0.264亿份,0.38亿元（截止至：2025年12月31日）,0.4291亿份（截止至：2025年12月31日）,华夏基金,华夏银行,彭锐哲,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证新材料主题指数收益率*65%+中证港股通综合指数(人民币)收益率*15%+中债综合(全价)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.38,2023-02-14
鹏扬均衡成长混合型证券投资基金,鹏扬均衡成长混合A,017702,混合型-偏股,2023年05月29日,2023年06月26日 / 2.384亿份,0.11亿元（截止至：2025年12月31日）,0.0943亿份（截止至：2025年12月31日）,鹏扬基金,中国银行,吴西燕,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*65%+恒生指数收益率*15%+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的,,,0.11,2023-06-26
鹏扬均衡成长混合型证券投资基金,鹏扬均衡成长混合C,017703,混合型-偏股,2023年05月29日,2023年06月26日 / 2.384亿份,0.00亿元（截止至：2025年12月31日）,0.0027亿份（截止至：2025年12月31日）,鹏扬基金,中国银行,吴西燕,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,中证800指数收益率*65%+恒生指数收益率*15%+中债综合财富(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.0,2023-06-26
建信阿尔法一年持有期混合型证券投资基金,建信阿尔法一年持有混合,017707,混合型-偏股,2023年02月06日,2023年02月28日 / 2.844亿份,0.61亿元（截止至：2025年12月31日）,0.4226亿份（截止至：2025年12月31日）,建信基金,农业银行,刘克飞,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*10%+中债综合全价(总值)指数收益率*30%,该基金无跟踪标的,,,0.61,2023-02-28
华宝量化选股混合型发起式证券投资基金,华宝量化选股混合发起式A,017715,混合型-偏股,2023年02月15日,2023年02月20日 / 0.940亿份,0.26亿元（截止至：2025年12月31日）,0.1836亿份（截止至：2025年12月31日）,华宝基金,中信证券,徐林明、喻银尤,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证500指数收益率*80%+中证综合债指数收益率*20%,该基金无跟踪标的,,,0.26,2023-02-20
华宝量化选股混合型发起式证券投资基金,华宝量化选股混合发起式C,017716,混合型-偏股,2023年02月15日,2023年02月20日 / 0.940亿份,0.97亿元（截止至：2025年12月31日）,0.6985亿份（截止至：2025年12月31日）,华宝基金,中信证券,徐林明、喻银尤,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中证500指数收益率*80%+中证综合债指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.97,2023-02-20
华夏消费臻选混合型发起式证券投资基金,华夏消费臻选混合发起式A,017719,混合型-偏股,2023年02月06日,2023年02月21日 / 0.165亿份,1.17亿元（截止至：2025年12月31日）,1.0514亿份（截止至：2025年12月31日）,华夏基金,建设银行,徐漫,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证内地消费主题指数收益率*65%+中证港股通综合指数(人民币)收益率*15%+中债综合(全价)指数收益率*20%,该基金无跟踪标的,,,1.17,2023-02-21
华夏消费臻选混合型发起式证券投资基金,华夏消费臻选混合发起式C,017720,混合型-偏股,2023年02月06日,2023年02月21日 / 0.165亿份,1.73亿元（截止至：2025年12月31日）,1.5809亿份（截止至：2025年12月31日）,华夏基金,建设银行,徐漫,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证内地消费主题指数收益率*65%+中证港股通综合指数(人民币)收益率*15%+中债综合(全价)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.73,2023-02-21
华夏汽车产业混合型证券投资基金,华夏汽车产业混合A,017721,混合型-偏股,2023年02月06日,2023年02月15日 / 3.437亿份,0.24亿元（截止至：2025年12月31日）,0.2194亿份（截止至：2025年12月31日）,华夏基金,国金证券,连骁,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证智能电动汽车指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,该基金无跟踪标的,,,0.24,2023-02-15
华夏汽车产业混合型证券投资基金,华夏汽车产业混合C,017722,混合型-偏股,2023年02月06日,2023年02月15日 / 3.437亿份,0.16亿元（截止至：2025年12月31日）,0.149亿份（截止至：2025年12月31日）,华夏基金,国金证券,连骁,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证智能电动汽车指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.16,2023-02-15
银华心质混合型证券投资基金,银华心质混合A,017723,混合型-偏股,2023年03月06日,2023年03月30日 / 14.364亿份,1.58亿元（截止至：2025年12月31日）,1.2368亿份（截止至：2025年12月31日）,银华基金,中信银行,张萍、杜宇,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数(全价)收益率*20%,该基金无跟踪标的,,,1.58,2023-03-30
银华心质混合型证券投资基金,银华心质混合C,017724,混合型-偏股,2023年03月06日,2023年03月30日 / 14.364亿份,2.38亿元（截止至：2025年12月31日）,1.8847亿份（截止至：2025年12月31日）,银华基金,中信银行,张萍、杜宇,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数(全价)收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,2.38,2023-03-30
鑫元成长驱动股票型发起式证券投资基金,鑫元成长驱动股票发起式A,017726,股票型,2023年04月03日,2023年04月27日 / 0.311亿份,0.11亿元（截止至：2025年12月31日）,0.1059亿份（截止至：2025年12月31日）,鑫元基金,国投证券,王夫伟,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证500指数收益率*60%+恒生指数收益率*20%+银行活期存款利率(税后)*20%,该基金无跟踪标的,,,0.11,2023-04-27
鑫元成长驱动股票型发起式证券投资基金,鑫元成长驱动股票发起式C,017727,股票型,2023年04月03日,2023年04月27日 / 0.311亿份,0.02亿元（截止至：2025年12月31日）,0.0147亿份（截止至：2025年12月31日）,鑫元基金,国投证券,王夫伟,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中证500指数收益率*60%+恒生指数收益率*20%+银行活期存款利率(税后)*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.02,2023-04-27
鹏华核心优势混合型证券投资基金,鹏华核心优势混合C,017732,混合型-偏股,2019年02月11日,2023年01月13日 / --,0.18亿元（截止至：2025年12月31日）,0.1331亿份（截止至：2025年12月31日）,鹏华基金,建设银行,黄奕松,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,沪深300指数收益率*70%+中证综合债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.18,2023-01-13
融通明锐混合型证券投资基金,融通明锐混合A,017735,混合型-偏股,2023年03月27日,2023年04月18日 / 8.652亿份,0.41亿元（截止至：2025年12月31日）,0.2952亿份（截止至：2025年12月31日）,融通基金,建设银行,张鹏,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,,,0.41,2023-04-18
融通明锐混合型证券投资基金,融通明锐混合C,017736,混合型-偏股,2023年03月27日,2023年04月18日 / 8.652亿份,0.14亿元（截止至：2025年12月31日）,0.1011亿份（截止至：2025年12月31日）,融通基金,建设银行,张鹏,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.14,2023-04-18
融通慧心混合型证券投资基金,融通慧心混合A,017737,混合型-偏股,2023年02月10日,2023年02月28日 / 9.570亿份,0.60亿元（截止至：2025年12月31日）,0.3737亿份（截止至：2025年12月31日）,融通基金,农业银行,任涛,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,,,0.6,2023-02-28
融通慧心混合型证券投资基金,融通慧心混合C,017738,混合型-偏股,2023年02月10日,2023年02月28日 / 9.570亿份,0.09亿元（截止至：2025年12月31日）,0.0537亿份（截止至：2025年12月31日）,融通基金,农业银行,任涛,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.09,2023-02-28
鹏华睿见混合型证券投资基金,鹏华睿见混合A,017740,混合型-偏股,2023年06月05日,2023年07月11日 / 3.483亿份,0.18亿元（截止至：2025年12月31日）,0.1728亿份（截止至：2025年12月31日）,鹏华基金,建设银行,朱睿,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*20%,该基金无跟踪标的,,,0.18,2023-07-11
鹏华睿见混合型证券投资基金,鹏华睿见混合C,017741,混合型-偏股,2023年06月05日,2023年07月11日 / 3.483亿份,0.05亿元（截止至：2025年12月31日）,0.0546亿份（截止至：2025年12月31日）,鹏华基金,建设银行,朱睿,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,沪深300指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.05,2023-07-11
中欧行业鑫选混合型证券投资基金,中欧行业鑫选混合A,017742,混合型-偏股,2023年05月29日,2023年06月15日 / 2.140亿份,0.21亿元（截止至：2025年12月31日）,0.2169亿份（截止至：2025年12月31日）,中欧基金,南京银行,钱亚风云,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+银行活期存款利率(税后)*20%,该基金无跟踪标的,,,0.21,2023-06-15
中欧行业鑫选混合型证券投资基金,中欧行业鑫选混合C,017743,混合型-偏股,2023年05月29日,2023年06月15日 / 2.140亿份,0.05亿元（截止至：2025年12月31日）,0.0494亿份（截止至：2025年12月31日）,中欧基金,南京银行,钱亚风云,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,中证800指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+银行活期存款利率(税后)*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.05,2023-06-15
嘉实绿色主题股票型发起式证券投资基金,嘉实绿色主题股票发起式A,017744,股票型,2023年02月08日,2023年02月17日 / 0.112亿份,0.62亿元（截止至：2025年12月31日）,0.4761亿份（截止至：2025年12月31日）,嘉实基金,中国银行,蔡丞丰,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*80%+恒生指数收益率*10%+中债综合财富指数收益率*10%,该基金无跟踪标的,,,0.62,2023-02-17
嘉实绿色主题股票型发起式证券投资基金,嘉实绿色主题股票发起式C,017745,股票型,2023年02月08日,2023年02月17日 / 0.112亿份,1.25亿元（截止至：2025年12月31日）,0.9768亿份（截止至：2025年12月31日）,嘉实基金,中国银行,蔡丞丰,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证800指数收益率*80%+恒生指数收益率*10%+中债综合财富指数收益率*10%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.25,2023-02-17
建信电子行业股票型证券投资基金,建信电子行业股票A,017746,股票型,2023年03月06日,2023年04月11日 / 2.198亿份,2.45亿元（截止至：2025年12月31日）,1.3415亿份（截止至：2025年12月31日）,建信基金,招商证券,江映德,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证全指电子指数*80%+中证港股通电子综合指数*10%+中债总指数收益率*10%,该基金无跟踪标的,,,2.45,2023-04-11
建信电子行业股票型证券投资基金,建信电子行业股票C,017747,股票型,2023年03月06日,2023年04月11日 / 2.198亿份,2.29亿元（截止至：2025年12月31日）,1.2651亿份（截止至：2025年12月31日）,建信基金,招商证券,江映德,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中证全指电子指数*80%+中证港股通电子综合指数*10%+中债总指数收益率*10%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,2.29,2023-04-11
国投瑞银景气驱动混合型证券投资基金,国投瑞银景气驱动混合A,017749,混合型-偏股,2023年02月20日,2023年03月14日 / 6.155亿份,4.25亿元（截止至：2025年12月31日）,2.5453亿份（截止至：2025年12月31日）,国投瑞银基金,中国银行,汤龑,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*70%+中证港股通综合指数收益率*10%+中债综合指数收益率*20%,该基金无跟踪标的,,,4.25,2023-03-14
国投瑞银景气驱动混合型证券投资基金,国投瑞银景气驱动混合C,017750,混合型-偏股,2023年02月20日,2023年03月14日 / 6.155亿份,18.07亿元（截止至：2025年12月31日）,11.0061亿份（截止至：2025年12月31日）,国投瑞银基金,中国银行,汤龑,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证800指数收益率*70%+中证港股通综合指数收益率*10%+中债综合指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,18.07,2023-03-14
长城创新成长混合型证券投资基金,长城创新成长混合A,017751,混合型-偏股,2023年05月10日,2023年05月30日 / 6.294亿份,0.39亿元（截止至：2025年12月31日）,0.2682亿份（截止至：2025年12月31日）,长城基金,农业银行,韩林,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中国战略新兴产业成份指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债综合财富指数收益率*20%,该基金无跟踪标的,,,0.39,2023-05-30
长城创新成长混合型证券投资基金,长城创新成长混合C,017752,混合型-偏股,2023年05月10日,2023年05月30日 / 6.294亿份,0.21亿元（截止至：2025年12月31日）,0.1489亿份（截止至：2025年12月31日）,长城基金,农业银行,韩林,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中国战略新兴产业成份指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债综合财富指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.21,2023-05-30
银河新动能混合型证券投资基金,银河新动能混合C,017757,混合型-偏股,2019年09月19日,2023年02月13日 / --,0.01亿元（截止至：2025年12月31日）,0.0042亿份（截止至：2025年12月31日）,银河基金,建设银行,鲍武斌,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,中国战略新兴产业成份指数收益率*75%+中债综合全价指数收益率*25%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.01,2023-02-13
银河智慧主题灵活配置混合型证券投资基金,银河智慧混合C,017758,混合型-灵活,2017年10月30日,2023年02月09日 / --,0.00亿元（截止至：2025年12月31日）,0.0005亿份（截止至：2025年12月31日）,银河基金,建设银行,袁曦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,中证800指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.0,2023-02-09
银河研究精选混合型证券投资基金,银河研究精选混合C,017759,混合型-偏股,2017年08月01日,2023年02月09日 / --,0.98亿元（截止至：2025年12月31日）,0.5078亿份（截止至：2025年12月31日）,银河基金,建设银行,袁曦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,沪深300指数收益率*50%+中证全债指数收益率*50%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.98,2023-02-09
银河大国智造主题灵活配置混合型证券投资基金,银河智造混合C,017760,混合型-灵活,2016年01月28日,2023年02月13日 / --,0.02亿元（截止至：2025年12月31日）,0.0072亿份（截止至：2025年12月31日）,银河基金,建设银行,鲍武斌,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,中证装备产业指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.02,2023-02-13
银河智联主题灵活配置混合型证券投资基金,银河智联混合C,017761,混合型-灵活,2015年11月16日,2023年02月09日 / --,0.63亿元（截止至：2025年12月31日）,0.1891亿份（截止至：2025年12月31日）,银河基金,建设银行,郑巍山,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,中证800指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.63,2023-02-09
银河转型增长主题灵活配置混合型证券投资基金,银河转型混合C,017762,混合型-灵活,2015年04月20日,2023年02月13日 / --,0.00亿元（截止至：2025年12月31日）,0.0065亿份（截止至：2025年12月31日）,银河基金,建设银行,杨琪,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,中证500指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.0,2023-02-13
大成均衡增长混合型证券投资基金,大成均衡增长混合A,017764,混合型-偏股,2023年03月06日,2023年03月22日 / 3.318亿份,0.40亿元（截止至：2025年12月31日）,0.2978亿份（截止至：2025年12月31日）,大成基金,中国银行,王磊,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*70%+恒生指数收益率*10%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,,,0.4,2023-03-22
大成均衡增长混合型证券投资基金,大成均衡增长混合C,017765,混合型-偏股,2023年03月06日,2023年03月22日 / 3.318亿份,0.05亿元（截止至：2025年12月31日）,0.0344亿份（截止至：2025年12月31日）,大成基金,中国银行,王磊,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证800指数收益率*70%+恒生指数收益率*10%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.05,2023-03-22
华夏兴和混合型证券投资基金,华夏兴和混合C,017766,混合型-灵活,2014年06月03日,2023年01月19日 / --,0.12亿元（截止至：2025年12月31日）,0.033亿份（截止至：2025年12月31日）,华夏基金,建设银行,李彦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,'---（前端）,沪深300指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.12,2023-01-19
嘉实欣荣混合型证券投资基金(LOF),嘉实欣荣混合(LOF)C,017767,混合型-偏股,2019年12月19日,2023年01月20日 / --,0.00亿元（截止至：2025年12月31日）,0.0014亿份（截止至：2025年12月31日）,嘉实基金,招商银行,吴悠,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,沪深300指数收益率*60%+恒生指数收益率*10%+中债综合财富指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.0,2023-01-20
大成景阳领先混合型证券投资基金,大成景阳领先混合C,017772,混合型-偏股,2023年03月06日,2023年03月09日 / --,0.13亿元（截止至：2025年12月31日）,0.169亿份（截止至：2025年12月31日）,大成基金,农业银行,齐炜中,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,'---（前端）,沪深300指数*80%+中债综合指数*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.13,2023-03-09
大成消费主题混合型证券投资基金,大成消费主题混合C,017773,混合型-偏股,2011年10月10日,2023年03月09日 / --,0.99亿元（截止至：2025年12月31日）,0.4847亿份（截止至：2025年12月31日）,大成基金,农业银行,齐炜中,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,'---（前端）,中证内地消费主题指数*80%+中证综合债券指数*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.99,2023-03-09
中银高质量发展机遇混合型证券投资基金,中银高质量发展机遇混合C,017784,混合型-偏股,2020年03月02日,2023年05月22日 / --,0.22亿元（截止至：2025年12月31日）,0.126亿份（截止至：2025年12月31日）,中银基金,兴业银行,郭昀松,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,'---（前端）,沪深300指数收益率*75%+恒生指数收益率(经人民币汇率折算)*5%+中债综合全价(总值)指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.22,2023-05-22
万家宏观择时多策略灵活配置混合型证券投资基金,万家宏观择时多策略混合C,017787,混合型-灵活,2017年02月27日,2023年01月17日 / --,1.96亿元（截止至：2025年12月31日）,0.8643亿份（截止至：2025年12月31日）,万家基金,招商银行,黄海,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,沪深300指数收益率*50%+中证全债指数收益率*50%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.96,2023-01-17
交银施罗德启盛混合型证券投资基金,交银启盛混合A,017794,混合型-偏股,2023年03月06日,2023年03月30日 / 4.410亿份,0.81亿元（截止至：2025年12月31日）,0.5085亿份（截止至：2025年12月31日）,交银施罗德基金,浦发银行,封晴,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*70%+恒生指数收益率*5%+中证综合债券指数收益率*25%,该基金无跟踪标的,,,0.81,2023-03-30
交银施罗德启盛混合型证券投资基金,交银启盛混合C,017795,混合型-偏股,2023年03月06日,2023年03月30日 / 4.410亿份,0.48亿元（截止至：2025年12月31日）,0.3083亿份（截止至：2025年12月31日）,交银施罗德基金,浦发银行,封晴,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,沪深300指数收益率*70%+恒生指数收益率*5%+中证综合债券指数收益率*25%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.48,2023-03-30
汇添富战略精选中小盘市值3年持有期混合型发起式证券投资基金,汇添富战略精选中小盘市值3年持有混合发起A,017801,混合型-偏股,2023年02月10日,2023年03月22日 / 0.663亿份,1.16亿元（截止至：2025年12月31日）,0.6848亿份（截止至：2025年12月31日）,汇添富基金,民生银行,蔡志文,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证500指数收益率*65%+中证港股通综合指数收益率*15%+中债综合指数收益率*20%,该基金无跟踪标的,,,1.16,2023-03-22
