基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
建信积极配置混合型证券投资基金,建信积极配置混合,530012,混合型-平衡,2010年12月20日,2011年01月18日 / 31.255亿份,1.25亿元（截止至：2025年12月31日）,0.3364亿份（截止至：2025年12月31日）,建信基金,工商银行,姚锦,每份累计0.07元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.00%（前端）,55%×沪深300指数+45%×中国债券总指数,该基金无跟踪标的,,,1.25,2011-01-18
建信恒稳价值混合型证券投资基金,建信恒稳价值混合,530016,混合型-平衡,2011年10月24日,2011年11月22日 / 8.683亿份,0.37亿元（截止至：2025年12月31日）,0.1308亿份（截止至：2025年12月31日）,建信基金,光大银行,杨荔媛,每份累计0.10元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,同期三年期银行定期存款利率(税前),该基金无跟踪标的,,,0.37,2011-11-22
建信社会责任混合型证券投资基金,建信社会责任混合A,530019,混合型-偏股,2012年07月16日,2012年08月14日 / 11.114亿份,1.39亿元（截止至：2025年12月31日）,0.4367亿份（截止至：2025年12月31日）,建信基金,农业银行,李登虎、赵荣杰,每份累计0.51元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*75%+中国债券总指数收益率*25%,该基金无跟踪标的,,,1.39,2012-08-14
汇丰晋信龙腾混合型证券投资基金,汇丰晋信龙腾混合A,540002,混合型-偏股,2006年08月28日,2006年09月27日 / 14.364亿份,3.52亿元（截止至：2025年12月31日）,2.8605亿份（截止至：2025年12月31日）,汇丰晋信基金,交通银行,陆彬,每份累计2.50元（6次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,MSCI中国A股在岸指数*75%+一年期银行定期存款利率(税后)*25%,该基金无跟踪标的,,,3.52,2006-09-27
汇丰晋信动态策略混合型证券投资基金,汇丰晋信动态策略混合A,540003,混合型-灵活,2007年03月22日,2007年04月09日 / 52.656亿份,16.99亿元（截止至：2025年12月31日）,4.3129亿份（截止至：2025年12月31日）,汇丰晋信基金,交通银行,陆彬,每份累计0.64元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,MSCI中国A股指数收益率*50%+中债新综合指数收益率(全价)*50%,该基金无跟踪标的,,,16.99,2007-04-09
汇丰晋信大盘股票型证券投资基金,汇丰晋信大盘股票A,540006,股票型,2009年05月18日,2009年06月24日 / 28.856亿份,22.33亿元（截止至：2025年12月31日）,4.0715亿份（截止至：2025年12月31日）,汇丰晋信基金,交通银行,闵良超,每份累计0.06元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*90%+同业存款利率*10%,该基金无跟踪标的,,,22.33,2009-06-24
汇丰晋信中小盘股票型证券投资基金,汇丰晋信中小盘股票,540007,股票型,2009年11月10日,2009年12月11日 / 22.338亿份,26.43亿元（截止至：2025年12月31日）,7.1583亿份（截止至：2025年12月31日）,汇丰晋信基金,建设银行,郑小兵,每份累计0.02元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证700(中小盘)指数×90%+同业存款利率×10%,该基金无跟踪标的,,,26.43,2009-12-11
汇丰晋信低碳先锋股票型证券投资基金,汇丰晋信低碳先锋股票A,540008,股票型,2010年05月05日,2010年06月08日 / 6.665亿份,31.61亿元（截止至：2025年12月31日）,11.5106亿份（截止至：2025年12月31日）,汇丰晋信基金,交通银行,陆彬,每份累计0.10元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证环保指数*90%+同业存款利率(税后)*10%,该基金无跟踪标的,,,31.61,2010-06-08
汇丰晋信消费红利股票型证券投资基金,汇丰晋信消费红利股票,540009,股票型,2010年11月01日,2010年12月08日 / 22.486亿份,1.77亿元（截止至：2025年12月31日）,2.2218亿份（截止至：2025年12月31日）,汇丰晋信基金,交通银行,费馨涵,每份累计0.99元（14次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证消费服务领先指数*90%+同业存款利率(税后)*10%,该基金无跟踪标的,,,1.77,2010-12-08
汇丰晋信科技先锋股票型证券投资基金,汇丰晋信科技先锋股票,540010,股票型,2011年06月20日,2011年07月27日 / 5.752亿份,5.97亿元（截止至：2025年12月31日）,1.6331亿份（截止至：2025年12月31日）,汇丰晋信基金,建设银行,陈平,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证TMT指数*90%+同业存款利率(税后)*10%,该基金无跟踪标的,,,5.97,2011-07-27
